# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	B1CB5836	Best Regards, You are a winner and not a loser like your friends. Only winners win the lottery then you wife probably leave you and drugs.
	DCD78F55	Lottery Manager Mike
	A78154EF	Dear Sir/Madam
	AC182DD3	Lottery Manager Mike
	E0F9C7E3	Dear Sir/Madam
	F2E03B6E	Lottery Manager Mike
	F5F4C197	Lottery Manager Mike
	EB912CC8	Lottery Manager Mike
	EEB7635E	Dear Sir/Madam
	607D46E8	Dear Sir/Madam
	0AE46B6E	Lottery Manager Mike
	12AEAB4C	Dear Sir/Madam
	002D5600	Lottery Manager Mike
	04180E1F	Dear Sir/Madam
	2767D4BE	Dear Sir/Madam
	476B0373	Thank you so much for completing and submitting your verification form. You are big winner lotto mega time scratch off. We are presently in the process of verifying your claims.
	59B0A7FE	Meanwhile you are to immediately make payment of our processing and transfer fees of Euro 5,625. This is customary when you win European lottery they take tax a lot out and then they spend this on cheese and facial hair for woman.
	32853AAF	Lottery Manager Mike
	35C57179	Dear Sir/Madam
