# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9B2775A9	Есть подозрения, что за взрывом в боханском гараже стоят террористы
	8C9F17C3	На углу Гуантанамо и Уиндмилл-стрит в Южном Бохане в гараже прогремел взрыв. На месте происшествия были найдены следы аммиачной селитры и нитрометана, а также обломки большого грузовика. Это обычные ингредиенты взрывных устройств. Не надо быть гением, чтобы свести все воедино и в ужасном разрушении гаража обвинить местных террористов. К счастью, в момент взрыва никого из работников внутри не было. Гараж располагался на оживленной улице, полной прохожих, спешащих на работу или по магазинам. На этот раз мы легко отделались.
	BC7630D3	Надо чаще общаться
	E3E6E657	6) Разговаривая или отправляя SMS с мобильного при ходьбе, мы не замечаем, что творится вокруг, следовательно, возрастает риск попасть под машину или провалиться в открытый люк. <br/><br/>7) Ваши переговоры по мобильнику могут подслушать преступники. Любые личные данные затем могут быть использованы ими в преступных махинациях или извращенных сексуальных играх. <br/><br/>8) Подавляющее большинство мобильников производится неамериканскими компаниями. Деньги, которые тратятся на них, выводятся из оборота США и таким образом могут быть направлены на финансирование зарубежных террористических организаций. <br/><br/>9) В США у 7 больных из 10 есть мобильные телефоны. <br/><br/>10) Многие носят мобильники в карманах, тем самым снижая количество сперматозоидов и разочаровывая своих любимых.
	CCF04F19	Полиция озадачена
	54E68213	Дешевые телефоны наводнили рынок
	0E0793AD	Т.Дж.Барри
	0B9FC1C4	1) Исследование, проведенное университетом Веспуччи, показало, что лабораторные крысы, на несколько недель привязанные к работающим мобильным телефонам, умирают раньше, чем крысы, не привязанные к мобильным телефонам. <br/><br/>2) В подземке Либерти-Сити задержано несколько извращенцев, которые украдкой фотографировали женские гениталии с помощью фотоаппаратов, встроенных в телефоны. <br/><br/>3) Если преступник увидит вас разговаривающим по мобильному телефону, вероятность, что он ограбит вас, возрастает на 60%. <br/><br/>4) Правительство может подслушивать разговоры по мобильным телефонам, тем самым ущемляя ваши гражданские права. <br/><br/>5) Когда требуется позвонить в экстренной ситуации, угрожающей жизни, вероятность, что разговор прервется, будет на 90% выше, если вы звоните не со стационарного телефона, а с мобильника.
	2B56BCAC	Недорогие, многофункциональные мобильные телефоны наводнили рынок - но безопасны ли они? Вот десять причин, по которым они подвергают нас опасности:
	4582E6E8	Штат Корр
	3F2CF4BA	Взрыв в Бохане связан с террористической ячейкой?
