# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	C60E84B9	Мэри Уильямсон
	C1C8F935	Тони Дж. Смит
	A8540C90	Ярость фанатов нарастает?
	FB212768	Стероидный скандал в бейсболе: "Свингеры" признаются, что употребляли небольшие дозы
	E3BDFA01	На участке подземки между Алгонквином и Дюксом пассажиры стали свидетелями невиданного зрелища: отчаянную борьбу за свою жизнь отморозков из банды "Пропащих". Байкеры въехали в подземку в Северной Голландии и на полной скорости мчались по рельсам, лавируя между приближающимися поездами и перестреливаясь. По неподтвержденным показаниям очевидцев, в погоне участвовало три мотоцикла. Пока обнаружено два трупа. Один из погибших - Джим Фицджеральд из олдернийского крыла "Пропащих". Полиции не удалось идентифицировать второй труп. Власти обращаются за помощью в получении информации к "Пропащим" и их противникам, байкерам клуба "Ангелы смерти".
	DF512C5C	Трупы байкеров в подземке сеют панику!
	9F5B7884	Нападение на банду "Пропащих"
	3F42C01D	В дерзкой перестрелке байкеров погибло не меньше двух человек
	3B30D5AC	К чертям старшего тренера
	1E010A04	Драконьи мозги на тротуаре
	802DAAF5	Стероидный скандал разгорается, а владельцы команды подумывают уволить старшего тренера "Свингеров". Некоторые ключевые игроки не принимали никаких стероидов, в то время как остальные принимали 50% от максимальной дозы. "Это абсолютно недопустимо, - заявили владельцы команды. - Задача "Свингеров" - играть в бейсбол и выигрывать. Тренер обязан раскрывать способности игроков и физическими, и фармакологическими способами". Большинство болельщиков согласны с ними, особенно после нескольких неудачных сезонов выступлений команды.
	6E37A9CC	Мэри Уильямсон
	52D3C532	Человек в историческом костюме был найден практически обезглавленным после драки возле кинотеатра в Дюксе, где демонстрировался фильм "Мозг дракона". Фанаты этого фильма часто одеваются в костюмы любимых персонажей и говорят на староанглийском диалекте. Полиция сообщает, что спор фанатов из-за деталей фильма перерос в ожесточенный конфликт. Полиция все еще ищет зачинщика, но по словам свидетелей он был в костюме шута и играл на лютне, а затем вступил с погибшим в спор о реалистичности сюжета и можно ли скрестить дракона с лошадью. В разгаре перепалки шут отнял у покойного меч и нанес им смертельные удары. Полиция призывает всех придворных шутов района добровольно явиться на допрос, чтобы исключить невиновных из списка подозреваемых.
