# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	C253B26E	Интернет против человека
	7691E095	Штат Корр
	6ACF9B24	Штат Корр
	E8524743	Тони Дж. Смит
	DA57A5D9	Свадьба переросла в похороны
	D72F8D98	Свадьба в Саффолке приобрела ужасный оборот: на ней был убит человек. Жених, Роман Беллик, 31 год, был владельцем собственной компании и жил в восточной части Миддл-Парк. Получить комментарии от его невесты, Мэллори Беллик, нам не удалось. Свидетели сообщают, что некий человек приблизился к празднующим возле церкви, застрелил мистера Беллика, а затем направил оружие на себя. Сообщается, что двоюродный брат мистера Беллика, Нико, покинул место происшествия сразу же после убийства. В настоящий момент его разыскивают для дачи показаний, но не как подозреваемого. Скорее всего, это преступление совершено по бытовым мотивам. Убийца мог быть обманутым любовником, террористом, поклонником видеоигр или приверженцем культа смерти.
	58E91260	Кухня будущего?
	1CC1F46E	Размытые воспоминания, издерганные нервы
	03D27E96	Музыка была оглушительной, разговоры - увлекательными, секс - умопомрачительным. Казалось, вечеринка никогда не закончится. Но ей пришел конец. Сначала талия обросла жирком. Потом начались разговоры об ипотеке. Рейверы и тусовщики завершили лучшее десятилетие своей жизни и столкнулись с суровой реальностью, в которой им придется поплатиться за былое веселье. Спустя десять лет они озаботились проявлениями долговременных эффектов своей разгульной жизни. Они могут возникнуть в любую минуту. "Каждый раз, когда я простужаюсь или забываю ключи, я убежден, что это начало конца, что скоро меня найдут в состоянии кататонии в темной комнате - из-за всего ЛСД, экстази и травки, которые я употребил, - говорит Джеймс, 33-летний юрист из Алгонквина. - Если этого не произойдет, я отряхну белые перчатки, зажгу свечки и вернусь обратно".
	002C3C75	Новый стандарт низости: молодой мужчина хладнокровно застрелен в день собственной свадьбы
	4E74DC93	Поколение "экстази" в тревоге ждет возмездия
	4E0AF489	Трагическая смерть Чарльза Патмансона стала еще более трагической: следователи поведали миру трагическую историю трагедии, развернувшейся в трагических письмах, присланных Патмансону за несколько дней до его трагической трагедии. Создатель "кухни будущего", Патмансон противостоял хакерам, которые взламывали его программы и управляли кухонной техникой: разогревали плиту до 500 градусов среди ночи, ломали ледогенератор, заставили прыгать тостер. В приступе отчаяния Патмансон попытался встроить в тостер брандмауэр и новую материнскую плату, но в этот момент хакеры включили его, и изобретатель был убит ударом тока. Полицейские заходят в онлайн-игры и "спрашивают маленьких прыщавых эгоистичных маньяков, знают ли они что-нибудь об этом инциденте", как объяснил следователь Майк Лоретти.
	41363CF3	Жених убит у алтаря
