# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A731DB8E	Лесли Митчелл
	9CE90944	Уступая террористам, мэр Очоа демонстрирует классическую либеральную слабину, вновь открывая мосты между окраинными районами и Алгонквином. Неужели он не понимает, что мы ведем войну и что от нас требуются лишь некоторые жертвы ради защиты нашего образа жизни и свободы? По-видимому, нет. Он облегчил жизнь тех, кто ездит на работу из пригородов в центр и тех, кто хочет навредить нам. Типичное для либералов отсутствие логики. Что нам сейчас нужно, так это старая добрая консервативная принципиальность: накажи всех, тогда пострадают и плохие парни. Мост Хикки и туннель Бута по-прежнему закрыты.
	A8D00E56	Наркотики и террор
	D6843033	Мэр играет в рулетку с террористами, на кону ваша безопасность
	AE00ECA7	Почему? Да потому что террористы продают либералам наркотики, чтобы купить бомбы и перебить всех нас. Все очень просто. Так вчера сказали представители полицейского управления, и я в кои-то веки поверил им. Теперь, когда мы знаем, что военно-промышленный комплекс ни при чем, не пора ли объявить наркоманов вне закона - как преступников, каковыми они и являются?
	9BC14828	Все мы знаем, что либералы любят наркотики: кокаиновые вечеринки Вайнвуда, тусовки для пригородных поклонников экстази, кислотные напитки для дошкольников и героин для учеников колледжей, - ничто не соответствует определению "издержек либерализма" лучше, чем семья, которую разрушили наркотики. А недавно полиция установила, что существует неопровержимая связь между наркотиками, поставляемыми в наш город и нашу страну, и угрозой терроризма, с которой столкнулись все мы. Это наверняка понравится либералам: ведь это их вседозволенность подвергла всех нас смертельному риску.
	4068C3C7	Мэр подвергает город риску, открывая мосты
	1937BA87	Либеральные любители наркотиков отрицают связь
	45092CBD	Очоа открывает несколько мостов
	9865738E	Связь, которую отрицают либералы
	46118A14	Джон Чесапик
