# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A9FEB9FA	Я просто помог тебе. Твоя музыка тут ни при чем. - Н.
	B7D1D0F0	Мир да любовь, друг!
	9B3097AE	Мир да любовь, друг!
	A9843455	Мир да любовь, друг!
	CEE2E215	Приятель, как жизнь?
	ECCC1DE7	Приятель, как жизнь?
	F031420E	Мир да любовь, друг!
	D4E88FB5	Ты прав. Мы показали им цивилизованный путь к диалогу. Как ты говоришь, мир да любовь. Нико. P.S. Если с музыкой у тебя не заладится, попробуй себя в политике. Ты для нее просто создан.
	E6DF2F6A	Мир да любовь, друг!
	74E74B1C	Мир да любовь, друг!
	25D00FE2	Приятель, как жизнь?
	2DD23D4F	Мир да любовь, друг!
	160A7063	Приятель, как жизнь?
	1C1399D2	Мир да любовь, друг!
	2FDCD456	Рад, что ты не сидишь сложа руки, друг! Ты защищаешь правильные вещи. Моя музыка - это послание людям! Я так люблю иностранных девочек, которые это тоже понимают. Ты разобрался с этим придурками, ты поступил правильно - в мире слишком много плохих людей, и если мы ликвидируем часть из них, это только к лучшему.
	4EDE620A	Приятель, как жизнь?
	4F216284	Приятель, как жизнь?
	321EA87F	Приятель, как жизнь?
	411CC687	Приятель, как жизнь?
