# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	CAAC54C7	Хорошо, что написал, Хоссан. Да, живу теперь здесь. Дай знать, когда будешь в городе.
	CBB99C28	Привет, друг!
	C650B832	Твой друг,
	84CEB52F	Твой друг,
	C251AC15	Уже ввязался и вряд ли из этого выберусь. Ну, посмотрим. Береги себя. - Н.
	D4384FE2	Спасибо, Хоссан. Дела идут неважно. Проблемы преследуют меня из самой Европы, моя жизнь гроша ломаного не стоит. Не хочу тебя в это втягивать. Береги себя, Нико.
	E899FCC4	Твой друг,
	EC3183F7	Твой друг,
	DBEDF74A	Я тут устроился, но все, что мой брат рассказывал - полная туфта. Не все так просто. - Н.
	D57BD688	Береги себя!
	DBB93C27	Привет, друг!
	6E46E140	Привет, друг!
	2697D1E3	Привет, друг!
	36AAF209	Привет, друг!
	1DE76762	Береги себя!
	0218AFC5	Береги себя!
	08EC168C	Привет, друг!
	39935606	В общем, я снова в море, хожу туда-сюда. Сейчас во Флориде, но скоро вернусь. Надеюсь, удастся заскочить к тебе. Мне предлагают работу в Саффолке - торговать фальшивыми дамскими сумочками. Не поверишь, какие на этом деньги зашибают!
	650CCECC	Привет, друг!
	67D93291	Как поживаешь? Надолго в Либерти-Сити? Как там твой двоюродный брат? Я остался тут. Ты слышал печальную новость о Капитане? Бедняга. Напился в стельку и утонул. Не знаешь, еще кто-нибудь сошел на берег? Интересно, те китайцы на самом деле перевозили героин? И куда они его потом дели?
	4C7D7BDA	Рад был тебя повидать, Нико! Держись подальше от неприятностей. Ты такой измотанный, надеюсь, у тебя все нормально. Часто слышу о новой волне преступности из Восточной Европы, лучше бы ты в это не ввязывался. Напиши, если я могу чем-то помочь.
	3FC00433	Привет, друг!
	490C3DAB	Береги себя!
