# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	BC4024A8	Джон Чесапик
	C6C55A35	Стремительный рост рецидивов?
	9B4A8D70	Ложная угроза глобального потепления привела к росту продаж гибридноприводных машин
	AC56DF1B	Жительница района Стейнвей Стефани Пирсон (от злоупотребления метамфетамином у нее потемнели зубы) позвонила в полицию и настучала на своих товарищей по наркобизнесу. Передвижная метамфетаминовая лаборатория была обнаружена на закрытой товарной платформе, подозреваемые взяты под стражу. "Метамфетамин разрушил жизнь и бизнес торговцев кокаином в Вайс-Сити, и мы видим, как то же самое происходит у нас, - сказал агент Альберт Томас. - Эта женщина в свои 22 года выглядит на все 62 - и все из-за употребления метамфетамина."
	DFC1C2FD	Наглядно доказывая, что реклама пересиливает доводы рассудка, местные жители переходят на гибридноприводные машины - такие, как "Карин Дилетант". Изменение климата - естественное явление, оно происходило с тех пор, как 6500 лет назад согласно Писанию образовалась Земля, что подтверждают специалисты по нефти. Извержения вулканов и метеоризм у скота - более вероятные причины потепления, чем ежедневные выхлопы более чем 3,5 миллиардов автомобилей.
	F1766666	Кстати, в недавнем отчете об изучении солнечной энергии говорится, что она обходится слишком дорого, к тому же на изготовление батарей тоже затрачивается энергия. Президент и конгресс работают над законопроектом, защищающим такие отрасли, как нефтяная, угольная и электрическая, от солнечной угрозы.
	CB572500	Говорят герои полицейского управления
	D4D85056	Юджин Уайт
	1DF58919	Темнозубая бабуля сдает наркоделов копам
	3BB185AA	Полицейских-патриотов нельзя обвинять в жестокости
	013B3A1E	Метамфетамин жаждет новых жертв и газетных заголовков
	027242D8	Джон Чесапик
	7DC3A773	Комиссар полиции по связям с общественностью Том Пирени сегодня на импровизированном пресс-показе слайдов в простых выражениях объяснил, что действия героев полицейского управления в ходе так называемого "инцидента на Брокерском мосту" нельзя считать бесчинством полиции. Пирени потратил 20 минут на первый слайд, направляя лазерную указку на надпись: <br/> * Защищать <br/> * Служить <br/> * Свобода <br/> Затем он сыграл на акустической гитаре "Звездно-полосатый флаг" и закончил хором репортеров, распевающих "Что значит для меня свобода?", от которого слушателей прошибла слеза.
	7EE58439	Она вызвала полицию в приступе ярости, потому что уже несколько недель не могла достичь оргазма, к тому же она так уродлива, что никто из подельников не желал заниматься с ней сексом, несмотря на метамфетаминовое половое возбуждение". Власти считают употребление метамфетамина эпидемией. Полиции требуются средства и сложное оборудование, новые машины и длительные отпуска, чтобы Либерти-Сити стал безопасным. Спрашивается, какова цена свободы?
	47E929CE	Массовое помешательство?
	63ADAE8C	Эксперты полагают, что видеоматериалы, запечатлевшие, как полицейские сбрасывают с моста нескольких женщин и детей, подделаны или подправлены какими-нибудь либеральными активистами.
