# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



B2_ABANDONB	90C98006	~r~Вы бросили лодку.
B2_ABANDONT	513400E8	~r~Вы бросили грузовик.
B2_BBEACH	83D8A7FB	~r~Лодка Белла села на мель.
B2_LOSECOPS	087575BA	~s~Сделайте так, чтобы полиция перестала вас искать.
B2CUTSCENE1	C1B8AED9	~s~В этой мастерской русские наркодилеры торгуют кокаином.
B2CUTSCENE2	0B2C41BF	~s~Моторная лодка с грузом наркотиков уже прибыла из Вайс-Сити, но она еще не разгружена.
B2CUTSCENE3	D44E5404	~s~Мастерская надежно охраняется, поэтому важен элемент неожиданности.
B2FAIL_01	E9A07286	~r~Белл погиб.
B2FAIL_02	D334C5AF	~r~Грузовик разбит.
B2FAIL_03	C10A215A	~r~Лодка уничтожена.
B2FAIL_04	B6B70CB4	~r~Вы посадили лодку на мель.
B2GETBACK_01	91362D7B	~s~~b~Белл~s~ отстал, вернитесь за ним.
B2GETBOAT	97EBE055	~s~Сядьте в ~b~лодку.
B2GETTRUCK	50109C4A	~s~Сядьте в ~b~грузовик.
B2GT_01	9C48497E	~s~Доберитесь до ~b~грузовика.
B2GT_01A	741B118A	~s~Поезжайте в ~y~лодочную мастерскую~s~ на Чардж-Айленд.
B2GT_02A	D9FBC06D	~s~Проберитесь через мастерскую вместе с ~b~Беллом.
B2GT_02B	0BC4A3FE	~s~Сядьте в ~b~лодку с кокаином.
B2GT_03	019B9427	~s~~b~Белл~s~ отстал от вас. Вернитесь и помогите ему.
B2GT_03A	B1876E79	~s~Следуйте за ~b~Беллом~s~ к месту передачи товара.
B2GT_03B	7D4105ED	~s~Отведите лодку с кокаином к ~y~причалу.
B2GT_DISEMBARK	2DDA39DE	~s~Сойдите на ~y~причал.
B2GT_GIVEUP	6EB6100A	~s~Нападавшие отступили. Следуйте за ~b~Беллом~s~ к месту выгрузки.
B2GT_KILLED	EDAD32FA	~s~Нападавшие убиты. Следуйте за ~b~Беллом~s~ к месту выгрузки.
B2GT_PROTECT	24E31F70	~s~Защитите ~r~Белла.
