# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	B68DA807	Пробок стало больше, чем когда-либо. Не закрыть ли мосты снова?
	8597EBBD	Пилот, который подверг опасности жизни пассажиров, сев за штурвал в пьяном виде, извинился за свое поведение
	7826ACA7	Источник, близкий к гангстерским кругам, сообщает, что смерть свидетеля нанесла тяжкий удар по линии обвинения против Пегорино: "Энтони был личным телохранителем Джимми П. Если бы он вышел на свидетельскую трибуну, Джимми удалось бы упрятать за решетку навсегда. Но они его прозевали". Однако окружной прокурор иного мнения: "Мы упорно работаем, чтобы собрать доказательства виновности этих подонков. Мистер Коррадо - всего лишь одна деталь мозаики, хотя довольно важная". Коррадо находился под защитой более недели. Предав Пегорино и его сообщников, он испытал сильный стресс, который привел к инфаркту вскоре после согласия дать показания. Полиция ищет киллера и любые возможные связи между убийством свидетеля и Джимми Пегорино.
	BE14B882	Свидетель обвинения, находящийся под усиленной охраной полиции и ФРБ, убит в Мемориальной больнице Вестдайка. Свидетель Энтони Коррадо должен был дать показания против главаря олдернийской банды Джимми Пегорино.
	FD4D401D	Т.Дж.Барри
	E4B6F734	Вялое извинение нетрезвого пилота
	D775696F	Убит свидетель
	19F72A8C	Тони Дж. Смит
	10781219	Медицинский ад
	0AD78C89	Несколько месяцев мы прожили в разделенном городе. Некоторым это даже понравилось. Те, кто часто появлялся на мосту и в туннеле, пропали, и это было здорово. В субботу вечером опять можно было прогуляться. Мы чувствовали себя важными персонами, как будто жили в зоне военных действий, только без бомбежек и так далее. Нам казалось, что мы выжили. А потом у нас все отняли. Бездушные люди снова открыли мосты. Город вернулся к нормальной жизни. Поначалу все было спокойно, но теперь в городе творится черт знает что, проблем в нем столько, что сразу и не охватишь. Один из специалистов по городской планировке заявил, что при хронических проблемах с транспортом и преступностью самое лучшее - снова закрыть мосты и туннели. Я не против. Надо же мне о чем-то писать.
	2B551654	Открытые мосты чересчур популярны
	643D3BEC	Штат Корр
	577F1A7C	Пилот компании "Эйр Сол", выпивший шесть порций джина с тоником, пять - виски и одну - текилы с червяком перед двухчасовым рейсом из Вайс-сити в аэропорт им. Фрэнсиса, извинился за пьяные выходки, которые угрожали жизни 212 пассажиров. Он сказал репортерам: "Если кто-то испугался, мне жаль. Мы любим расслабиться в полете, к тому же я ухлестывал за новыми стюардессами, но, возможно, переборщил, когда выставил хозяйство и предложил: "Берись за штурвал, детка". Обычно так мы шутим после работы, в комнате отдыха для персонала. Больше я никогда не стану смешивать выпивку". 48-летний житель Брокера на две недели отстранен компанией от полетов. Он сказал друзьям, что с удовольствием отдохнет.
	559E6758	Свидетель обвинения убит в Мемориальной больнице Вестдайка
