# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9B2775A9	Terror suspected behind explosion at Bohan garage.
	8C9F17C3	An explosion has occurred at a garage on Guantanamo and Windmill in South Bohan. Investigators on the scene have found traces of ammonium nitrate and nitromethane as well as the remains of a large truck. These are common ingredients in explosive devices. It doesn't take a genius to connect the dots and blame terrorists here in Liberty City for the horrific destruction wrought at the garage. Luckily, no employees were present at the time of detonation. The garage is located on a busy street where people walk to go to work and do their shopping. We got lucky this time.
	BC7630D3	Hold The Call
	E3E6E657	6) Talking or "texting" on a cell phone while walking makes you unaware of your surroundings and means that you are more likely to be hit by a car or to fall down an exposed manhole. <br/><br/>7) Criminals can overhear your cell phone conversations. Any personal details can then be used in criminal enterprise or perverted sex games. <br/><br/>8) The majority of cell phones are manufactured by non-US companies. Money spent on them will not further the US economy and may be used to fund terrorist activity abroad. <br/><br/>9) 7/10 illness sufferers in the US own cell phones. <br/><br/>10) Many people store their mobile in their pocket, reducing sperm count and disappointing your eager lover.
	CCF04F19	Police are baffled
	54E68213	Cheap phones flood market
	0E0793AD	TJ Barry
	0B9FC1C4	1) A study at Vespucci University revealed that lab rats that were strapped to active cell phones for weeks at a time were more likely to die early than rats not strapped to cell phones. <br/><br/>2) Several perverts have been caught on the Liberty City subway system secretly photographing women's private parts with their camera phones. <br/><br/>3) You are 60% more likely to be mugged if a criminal sees you talking on your cell phone. <br/><br/>4) The government can intercept cell phone calls, thus compromising your civil liberties. <br/><br/>5) If you need to make an emergency call in a life threatening situation, a cell phone is 90% more likely to drop its signal than a hard line.
	2B56BCAC	Low cost, gadget-filled mobile phones have flooded the market - but are they safe? 10 ways in which they are putting you at risk:
	4582E6E8	Staff Writer
	3F2CF4BA	Explosion in Bohan Linked to Terror Cell?
