# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	B27626BF	Хорошие новости для наших ранимых богачей
	93BC22F4	Очередное нападение
	85FEAA1B	Свидетели видели "с виду иностранца", который удалялся от склада. Какие еще нужны доказательства президенту, чтобы закрыть границы для ненавидящих Америку иммигрантов?
	F2C270AF	Для одних это плохая новость, для остальных - хорошая, так как мы поддерживаем в первую очередь тех, кто способен обойтись без посторонней помощи. Особенно когда эти люди уже достаточно состоятельны и ищут способ сохранить богатство. И самое главное: высокие цены на недвижимость полезны всем - если бы не они, нам в буквальном смысле слова было бы нечего обсуждать за ужином. Ведь мы выросли в 80-е годы и не застали хиппи, свободный секс и тому подобные идеи.
	E208500A	Лесли Митчелл
	DAB46ECE	Цены по-прежнему высоки, бум недвижимости продолжается
	25820ED6	Террористы избрали мишенью склад ГСМ
	2205C0A1	Юджин Уайт
	052A2874	Несмотря на наши неоднократные предупреждения, террористы вновь атаковали Либерти-Сити. На этот раз мишенью стал склад ГСМ в Нортвуде. Либеральные СМИ пытаются связать случившееся с деятельностью мафии. Они утверждают, что взрыв связан скорее с организованной преступностью, чем с терроризмом. Эти левые недоумки просто спятили. Они скажут и сделают что угодно, лишь бы не признаваться, что терроризм - проблема номер один, гораздо более важная, чем их любимые игрушки: окружающая среда, здравохранение и смехотворные проекты гуманитарной помощи за рубежом.
	78340E86	Еще тревожнее другой факт: эксперты полицейского управления нашли на месте происшествия спусковое устройство, которое приводится в действие по сигналу мобильного телефона. Скорее всего, это первый из серии запланированных взрывов. Если вы увидите иностранца с мобильником, знайте: скорее всего, это террорист. Сначала действуйте, а задать вопросы успеете и потом. Ваша первоочередная забота - собственная безопасность и безопасность соотечественников-американцев.
	2F670251	Очоа игнорирует предупреждения "Уизела"
	2CA36474	Подтверждение тому, что правительство делает все возможное, лишь бы защитить домовладельцев и их семьи, поступило из Либерти-Сити: в городе, где совершается слишком много ошибок, стоимость жилья, к счастью, остается непомерно высокой. Несмотря на то, что в городе свирепствуют социальные проблемы и ощущается острый дефицит торговых центров и людей, страдающих ожирением, по сравнению с остальной великой страной, высокие цены на недвижимость укрепляют экономику.
