# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	8A8187C1	Ладно. - Н.
	9255A7B3	Искренне твоя,
	9589421E	ЗАГЛУШКА
	87AEA669	ЗАГЛУШКА
	828E2278	Знаю, это нечестно, письмо с объяснениями - трусливый прием. Если ты чувствуешь ко мне то же, что и я к тебе, думаю, тебе трудно это читать. Сейчас я должна найти себя и понять, чего я хочу от жизни. В последнее время много всего случилось - один брат погиб, другой попался. И мне кажется, Пакки тоже скатывается на дно. Я просто хочу сказать, что... понимаешь... я должна разорвать порочный круг. Мне нужно вырваться из этой жизни, сбежать от людей, которые причиняют мне вред. Тебя жизнь тоже не пощадила, ты не виноват, что такой... Я не хочу тебя наказывать. Ты никогда не сможешь измениться. Было бы глупо ожидать этого от тебя. Удачи тебе в жизни, Нико. Надеюсь, ты найдешь свое счастье.
	83BCEA7D	Привет!
	85408D89	Искренне твоя,
	98939446	Привет!
	D5AE48B7	ЗАГЛУШКА
	D8C2B48C	Искренне твоя,
	E5E09786	ЗАГЛУШКА
	CD39B7CE	ЗАГЛУШКА
	B5826E0C	Искренне твоя,
	BBEC1533	ЗАГЛУШКА
	CAFC9900	Искренне твоя,
	7CA8FC5A	Искренне твоя,
	3E5484A3	ЗАГЛУШКА
	468C1CAD	ЗАГЛУШКА
	492F8506	Что ж, Кейт, если ты так решила. - Н.
	3D11DD40	Привет!
	057AEE13	Привет!
	1900951E	Привет!
	27B23281	Привет!
	4AEB18DF	Искренне твоя,
	60212346	Привет!
	605EC3C6	Искренне твоя,
	712371DF	ЗАГЛУШКА
	58C57D52	ЗАГЛУШКА
	518AAB0F	ЗАГЛУШКА
	527287E9	Привет!
	585CCE0E	ЗАГЛУШКА
