# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	7250BD64	Давай, не дури. Никто за тобой не следит, твой телефон не прослушивают, тебя не пытаются отравить, так что необязательно пить воду из бутылок и питаться консервами. Уясни это раз и навсегда. Конечно, я встречусь с тобой. Буду ждать возле ювелирного магазина на Талса-стрит.
	74E509B7	До встречи!
	6332E653	До встречи!
	6E087C56	Олег!
	F9A6133B	До встречи!
	FCB899B8	Олег!
	AB88F752	Олег!
	EE73FD2F	Олег!
	58AB519C	Олег!
	1A095401	До встречи!
	26F8EE38	Олег!
	0B5BB6A6	До встречи!
	11C1C3CA	Олег!
	4B71B729	Олег!
	506740BC	До встречи!
	2FE77FBD	До встречи!
	3EA01D2E	До встречи!
